mu,alpha,beta,threshold_percentile,threshold_value,precision,recall,f1_score,accuracy,tp,fp,fn,tn,max_state,mean_anomaly,max_anomaly
0.14,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.14200000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.14400000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.14600000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.14800000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15000000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15200000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15400000000000003,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15600000000000003,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.15800000000000003,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.9992314,2.2360302765560425,22.039488065603784
0.16,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,149.14675708013883,2.2360302765560425,22.039488065603784
0.162,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,148.06185643856855,2.2360302765560425,22.039488065603784
0.164,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,146.99117066194498,2.2360302765560425,22.039488065603784
0.166,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,145.93446372261226,2.2360302765560425,22.039488065603784
0.168,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,144.89150402295644,2.2360302765560425,22.039488065603784
0.17,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,143.8620643058413,2.2360302765560425,22.039488065603784
0.17200000000000001,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,142.8459215669463,2.2360302765560425,22.039488065603784
0.17400000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,141.8428569689665,2.2360302765560425,22.039488065603784
0.17600000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,140.8526557576295,2.2360302765560425,22.039488065603784
0.17800000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,139.87510717949561,2.2360302765560425,22.039488065603784
0.18000000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,138.91000440149512,2.2360302765560425,22.039488065603784
0.18200000000000002,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,137.9571444321708,2.2360302765560425,22.039488065603784
0.184,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,137.01632804458276,2.2360302765560425,22.039488065603784
0.186,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,136.08735970084638,2.2360302765560425,22.039488065603784
0.188,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,135.170047478257,2.2360302765560425,22.039488065603784
0.19,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,134.2642029969789,2.2360302765560425,22.039488065603784
0.192,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,133.36964134925404,2.2360302765560425,22.039488065603784
0.194,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,132.4861810301028,2.2360302765560425,22.039488065603784
0.196,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,131.61364386948472,2.2360302765560425,22.039488065603784
0.198,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,130.75185496588153,2.2360302765560425,22.039488065603784
0.2,1.618,0.5,95.0,6.769436907425344,1.0,0.16241299303944315,0.27944111776447106,0.7415891195418755,70,0,361,966,129.9006426212801,2.2360302765560425,22.039488065603784
